Publication Title,Publication Title
NII Testbeds and Community for Information Access Research,1
Machine Learning for Authorship Attribution and Cyber Forensics,1
A Guided Tour of Artificial Intelligence Research,1
New Trends in Computer Technologies and Applications,1
Systematic Innovation Partnerships with Artificial Intelligence and Information Technology,1
The Role of Digital Technologies in Shaping the Post-Pandemic World,1
The Practice of Crowdsourcing,1
Textual and Visual Information Retrieval using Query Refinement and Pattern Analysis,1
Texts in Computer Science,1
Text Processing,1
Testbeds and Research Infrastructures for the Development of Networks and Communications,1
Technology-Inspired Smart Learning for Future Education,1
"Technology-Enhanced Learning for a Free, Safe, and Sustainable World",1
"Technology and Innovation in Learning, Teaching and Education",1
Technologies and Innovation,1
Task Intelligence for Search and Recommendation,1
Systems  Engineering and Artificial Intelligence,1
"Synthesis Lectures on Information Security, Privacy, and Trust",1
The Semantic Web – ISWC 2018,1
Synthesis Lectures on Human-Centered Informatics,1
Symbiotic Interaction,1
Supercomputing,1
Statistics and Computing,1
Statistical Methods for Annotation Analysis,1
SpringerBriefs in Computer Science,1
Springer Handbooks,1
Springer Handbook of Geographic Information,1
Soft Computing in Data Science,1
Social Robotics,1
Social Computing with Artificial Intelligence,1
Social Computing and Social Media. Technologies and Analytics,1
The Semantic Web – ISWC 2017,1
The Semantic Web: ESWC 2017 Satellite Events,1
Social Computing and Social Media. Communication and Social Communities,1
Understanding and Interpreting Machine Learning in Medical Image Computing Applications,1
eHealth 360°,1
"e-Learning, e-Education, and Online Training",1
e-Infrastructure and e-Services for Developing Countries,1
Word Association Thematic Analysis,1
Web and Wireless Geographical Information Systems,1
Web Services – ICWS 2019,1
Web Recommendations Systems,1
Web Content Credibility,1
Visual Pattern Discovery and Recognition,1
Vietnam Journal of Computer Science,1
Video Verification in the Fake News Era,1
Urban Informatics and Future Cities,1
Undergraduate Topics in Computer Science,1
The Theory and Practice of Social Machines,1
Trust Management XII,1
Tree-Based Convolutional Neural Networks,1
Transforming the IT Services Lifecycle with AI Technologies,1
Transactions on Large-Scale Data- and Knowledge-Centered Systems XXXVII,1
Transactions on Large-Scale Data- and Knowledge-Centered Systems XL,1
Transactions on Computational Science and Computational Intelligence,1
Transactions on Computational Collective Intelligence XXXIII,1
Tools and Methods of Program Analysis,1
This Changes Everything – ICT and Climate Change: What Can We Do?,1
The Web at Graduation and Beyond,1
The Visual Computer,1
The Urban Book Series,1
"Social Computing and Social Media. Participation, User Experience, Consumer Experience,  and Applications of Social Computing",1
Social Computing and Social Media. Applications and Analytics,1
Next Generation Computer Animation Techniques,1
Practical Data Science,1
Recent Challenges in Intelligent Information and Database Systems,1
Recent Advances in Data Science,1
Re-imagining Diffusion and Adoption of Information Technology and Systems: A Continuing Conversation,1
Quantitative Intertextuality,1
Quality Estimation for Machine Translation,1
Public Health Intelligence and the Internet,1
Provenance in Data Science,1
"Privacy, Security And Forensics in The Internet of Things (IoT)",1
Practical Web Scraping for Data Science,1
Practical Natural Language Processing with Python,1
Practical Machine Learning with AWS,1
Practical Explainable AI Using Python,1
Pervasive Computing Technologies for Healthcare,1
Recommender Systems in Fashion and Retail,1
Perspectives in Business Informatics Research,1
Personal Multimedia Preservation,1
Pattern Recognition and Computer Vision,1
Pattern Recognition Applications and Methods,1
Pattern Recognition,1
PRICAI 2021: Trends in Artificial Intelligence,1
Open Source Intelligence and Cyber Crime,1
Ontology-Based Data Access Leveraging Subjective Reports,1
Online Harassment,1
On the Move to Meaningful Internet Systems: OTM 2019 Conferences,1
On the Move to Meaningful Internet Systems: OTM 2018 Workshops,1
On the Move to Meaningful Internet Systems. OTM 2017 Conferences,1
Recent Trends and Future Technology in Applied Intelligence,1
Reflections on Artificial Intelligence for Humanity,1
Smart and Innovative Trends in Next Generation Computing Technologies,1
Semantic Systems. The Power of AI and Knowledge Graphs,1
Smart Trends in Information Technology and Computer Communications,1
"Smart Technologies, Systems and Applications",1
Smart Connected World,1
Smart Computing and Intelligence,1
Smart Applications and Data Analysis,1
Simulating Information Retrieval Test Collections,1
Simulating Crowds in Egress Scenarios,1
Similarity Search and Applications,1
Services – SERVICES 2020,1
Service-Oriented Computing – ICSOC 2021 Workshops,1
Service-Oriented Computing – ICSOC 2018 Workshops,1
Semantische Datenintelligenz im Einsatz,1
Semantic Systems. In the Era of Knowledge Graphs,1
Representation Learning,1
"Semantic Relations Between Nominals, Second Edition",1
Semantic Keyword-Based Search on Structured Data Sources,1
Security and Privacy in New Computing Environments,1
Secure Knowledge Management In The Artificial Intelligence Era,1
Science of Cyber Security,1
Rough Sets,1
Robotic Tactile Perception and Understanding,1
Robot Intelligence Technology and Applications,1
RoboCup 2016: Robot World Cup XX,1
Reuse in the Big Data Era,1
Reuse in Emerging Software Engineering Practices,1
Research in Computational Molecular Biology,1
"Security, Privacy and User Interaction",1
ICT Systems Security and Privacy Protection,1
Machine Learning and Data Mining for Sports Analytics,1
"Collaborate Computing: Networking, Applications and Worksharing",1
Clinical Text Mining,1
Cloud Computing,1
Cloud Computing and Security,1
"Cloud Computing, Security, Privacy in New Computing Environments",1
Cognitive Computing – ICCC 2020,1
